"case","event"
"case_29","serD|unassigned"
"case_29","vulnD|storage"
"case_30","serD|ATCcomm"
"case_30","vulnD|storage"
"case_30","surf|surveillance"
"case_30","vulnD|surveillance"
"case_30","infoD|surveillance"
"case_30","rPrivEsc|surveillance"
"case_30","remoteexp|surveillance"
"case_30","ACE|surveillance"
"case_30","dManip|surveillance"
"case_30","exfil|surveillance"
"case_31","serD|unassigned"
"case_31","vulnD|storage"
"case_31","serD|storage"
"case_31","vulnD|storage"
"case_31","serD|unassigned"
"case_31","vulnD|storage"
"case_32","serD|unassigned"
"case_32","vulnD|storage"
"case_32","serD|storage"
"case_32","vulnD|storage"
"case_32","serD|unassigned"
"case_32","vulnD|storage"
"case_33","serD|unassigned"
"case_33","vulnD|storage"
"case_33","serD|storage"
"case_33","vulnD|storage"
"case_33","serD|unassigned"
"case_33","vulnD|storage"
"case_34","serD|unassigned"
"case_34","vulnD|storage"
"case_34","serD|storage"
"case_34","vulnD|storage"
"case_34","serD|unassigned"
"case_34","vulnD|storage"
"case_35","serD|unassigned"
"case_35","vulnD|storage"
"case_35","serD|storage"
"case_35","vulnD|storage"
"case_35","serD|unassigned"
"case_35","vulnD|storage"
"case_36","serD|unassigned"
"case_36","vulnD|storage"
"case_36","serD|storage"
"case_36","vulnD|storage"
"case_36","serD|unassigned"
"case_36","vulnD|storage"
"case_37","serD|unassigned"
"case_37","vulnD|storage"
"case_37","serD|storage"
"case_37","vulnD|storage"
"case_37","hostD|http(s)"
"case_37","serD|storage"
"case_37","vulnD|storage"
"case_37","serD|unassigned"
"case_37","vulnD|storage"
"case_37","hostD|http(s)"
"case_37","surf|http(s)"
"case_37","infoD|http(s)"
"case_37","rPrivEsc|http(s)"
"case_37","acctManip|http(s)"
"case_37","remoteexp|http(s)"
"case_37","ACE|http(s)"
"case_37","resHJ|http(s)"
"case_37","dManip|http(s)"
"case_37","exfil|http(s)"
"case_37","delivery|http(s)"
"case_38","serD|unassigned"
"case_38","vulnD|storage"
"case_38","serD|storage"
"case_38","vulnD|storage"
"case_38","serD|unassigned"
"case_38","vulnD|storage"
"case_38","serD|unassigned"
"case_38","vulnD|storage"
"case_39","serD|unassigned"
"case_39","vulnD|storage"
"case_39","serD|storage"
"case_39","vulnD|storage"
"case_39","serD|unassigned"
"case_39","vulnD|storage"
"case_40","serD|unassigned"
"case_40","vulnD|storage"
"case_40","serD|unassigned"
"case_40","vulnD|storage"
"case_40","serD|storage"
"case_40","vulnD|storage"
"case_40","serD|unassigned"
"case_40","vulnD|storage"
