"case","event"
"case_48","serD"
"case_48","hostD"
"case_48","infoD"
"case_48","exfil"
"case_49","serD"
"case_49","vulnD"
"case_49","serD"
"case_49","vulnD"
"case_50","serD"
"case_50","vulnD"
"case_50","serD"
"case_50","hostD"
"case_50","serD"
"case_50","vulnD"
"case_50","serD"
"case_50","hostD"
"case_51","hostD"
"case_51","serD"
"case_51","vulnD"
"case_51","bfCred"
"case_52","serD"
"case_52","vulnD"
"case_52","hostD"
"case_53","hostD"
"case_53","serD"
"case_53","vulnD"
"case_54","serD"
"case_54","vulnD"
"case_54","serD"
"case_54","vulnD"
"case_55","serD"
"case_55","vulnD"
"case_55","serD"
"case_55","vulnD"
"case_56","serD"
"case_56","vulnD"
"case_56","vulnD"
"case_57","serD"
"case_57","vulnD"
"case_57","serD"
"case_57","vulnD"
"case_58","vulnD"
"case_58","rPrivEsc"
"case_58","remoteexp"
"case_58","dManip"
"case_58","exfil"
"case_59","vulnD"
"case_59","serD"
"case_59","hostD"
"case_60","serD"
"case_60","vulnD"
"case_60","hostD"
"case_61","serD"
"case_61","serD"
"case_61","vulnD"
"case_62","serD"
"case_62","serD"
"case_62","vulnD"
"case_63","hostD"
"case_63","serD"
"case_63","vulnD"
"case_64","hostD"
"case_64","serD"
"case_64","vulnD"
"case_65","serD"
"case_65","vulnD"
"case_65","hostD"
"case_66","serD"
"case_66","vulnD"
"case_66","hostD"
"case_67","serD"
"case_67","vulnD"
"case_67","vulnD"
"case_68","serD"
"case_68","vulnD"
"case_68","hostD"
"case_68","serD"
"case_68","vulnD"
"case_68","vulnD"
"case_68","infoD"
"case_68","uPrivEsc"
"case_68","rPrivEsc"
"case_68","exfil"
"case_68","delivery"
"case_69","serD"
"case_69","PAexp"
"case_69","remoteexp"
"case_69","ACE"
"case_69","dManip"
"case_70","serD"
"case_70","vulnD"
"case_70","rPrivEsc"
"case_70","remoteexp"
"case_70","ACE"
"case_70","dManip"
"case_71","serD"
"case_71","serD"
"case_71","surf"
"case_71","serD"
"case_71","vulnD"
"case_71","infoD"
"case_71","PAexp"
"case_71","remoteexp"
"case_71","dManip"
"case_71","exfil"
"case_71","delivery"
"case_72","serD"
"case_72","vulnD"
"case_72","serD"
"case_72","vulnD"
"case_72","vulnD"
"case_72","uPrivEsc"
"case_72","rPrivEsc"
"case_73","infoD"
"case_73","exfil"
"case_73","delivery"
"case_74","vulnD"
"case_74","remoteexp"
"case_74","ACE"
"case_75","serD"
"case_75","vulnD"
"case_75","hostD"
"case_75","infoD"
"case_75","serD"
"case_75","vulnD"
"case_75","serD"
"case_75","surf"
"case_75","vulnD"
"case_75","infoD"
"case_75","uPrivEsc"
"case_75","rPrivEsc"
"case_75","resHJ"
"case_75","exfil"
"case_76","serD"
"case_76","PAexp"
"case_76","remoteexp"
"case_76","ACE"
"case_76","dManip"
"case_76","delivery"
"case_77","vulnD"
"case_77","serD"
"case_77","acctManip"
"case_77","TOexp"
"case_77","remoteexp"
"case_77","ACE"
"case_77","privEsc"
"case_77","dManip"
"case_77","exfil"
"case_78","serD"
"case_78","serD"
"case_78","serD"
"case_78","serD"
"case_78","vulnD"
"case_78","infoD"
"case_78","rPrivEsc"
"case_78","TOexp"
"case_78","remoteexp"
"case_78","CnC"
"case_78","ACE"
"case_78","dManip"
"case_78","delivery"
"case_79","serD"
"case_79","vulnD"
"case_79","hostD"
"case_79","serD"
"case_79","vulnD"
"case_79","surf"
"case_79","vulnD"
"case_79","infoD"
"case_79","uPrivEsc"
"case_79","rPrivEsc"
"case_80","serD"
"case_80","PAexp"
"case_80","remoteexp"
"case_80","ACE"
"case_80","dManip"
"case_80","exfil"
"case_80","delivery"
"case_81","vulnD"
"case_81","rPrivEsc"
"case_81","remoteexp"
"case_81","ACE"
"case_81","dManip"
"case_82","serD"
"case_82","serD"
"case_82","serD"
"case_82","vulnD"
"case_82","infoD"
"case_82","TOexp"
"case_82","PAexp"
"case_82","remoteexp"
"case_82","ACE"
"case_82","dManip"
"case_82","exfil"
"case_82","delivery"
"case_83","serD"
"case_83","serD"
"case_83","serD"
"case_84","serD"
"case_84","vulnD"
"case_84","vulnD"
"case_85","serD"
"case_85","vulnD"
"case_85","bfCred"
"case_86","hostD"
"case_86","serD"
"case_86","vulnD"
"case_86","infoD"
"case_86","vulnD"
"case_86","infoD"
"case_86","serD"
"case_86","vulnD"
"case_86","bfCred"
"case_87","surf"
"case_87","serD"
"case_87","vulnD"
"case_87","infoD"
"case_87","rPrivEsc"
"case_87","resHJ"
"case_87","exfil"
"case_88","acctManip"
"case_88","TOexp"
"case_88","PAexp"
"case_88","remoteexp"
"case_88","ACE"
"case_88","privEsc"
"case_88","dManip"
"case_89","hostD"
"case_89","serD"
"case_89","vulnD"
"case_89","infoD"
"case_89","acctManip"
"case_89","netDOS"
"case_90","hostD"
"case_90","serD"
"case_90","vulnD"
"case_90","infoD"
"case_90","acctManip"
"case_90","netDOS"
"case_91","hostD"
"case_91","serD"
"case_91","vulnD"
"case_91","infoD"
"case_91","acctManip"
"case_91","netDOS"
"case_92","hostD"
"case_92","serD"
"case_92","vulnD"
"case_92","infoD"
"case_92","acctManip"
"case_92","netDOS"
"case_93","hostD"
"case_93","serD"
"case_93","vulnD"
"case_93","infoD"
"case_93","acctManip"
"case_93","netDOS"
"case_94","hostD"
"case_94","serD"
"case_94","vulnD"
"case_94","infoD"
"case_94","acctManip"
"case_94","netDOS"
"case_95","hostD"
"case_95","serD"
"case_95","vulnD"
"case_95","infoD"
"case_95","acctManip"
"case_95","netDOS"
"case_96","hostD"
"case_96","serD"
"case_96","vulnD"
"case_96","infoD"
"case_96","acctManip"
"case_96","netDOS"
"case_97","hostD"
"case_97","vulnD"
"case_97","infoD"
"case_97","acctManip"
"case_97","netDOS"
"case_98","hostD"
"case_98","serD"
"case_98","vulnD"
"case_98","infoD"
"case_98","acctManip"
"case_98","netDOS"
"case_99","hostD"
"case_99","serD"
"case_99","vulnD"
"case_99","infoD"
"case_99","acctManip"
"case_99","netDOS"
"case_100","serD"
"case_100","vulnD"
"case_100","hostD"
"case_100","infoD"
"case_100","acctManip"
"case_100","netDOS"
"case_101","serD"
"case_101","vulnD"
"case_101","hostD"
"case_101","infoD"
"case_101","acctManip"
"case_101","netDOS"
"case_102","serD"
"case_102","vulnD"
"case_102","hostD"
"case_102","infoD"
"case_102","bfCred"
"case_102","acctManip"
"case_102","netDOS"
"case_103","rPrivEsc"
"case_103","CnC"
"case_103","privEsc"
"case_103","exfil"
"case_104","serD"
"case_104","vulnD"
"case_104","hostD"
"case_104","infoD"
"case_104","acctManip"
"case_104","netDOS"
"case_105","serD"
"case_105","uPrivEsc"
"case_105","uPrivEsc"
"case_106","vulnD"
"case_106","hostD"
"case_106","infoD"
"case_106","acctManip"
"case_106","netDOS"
"case_107","vulnD"
"case_107","hostD"
"case_107","infoD"
"case_107","acctManip"
"case_107","netDOS"
"case_108","vulnD"
"case_108","hostD"
"case_108","infoD"
"case_108","acctManip"
"case_108","netDOS"
"case_109","infoD"
"case_109","infoD"
"case_109","CnC"
"case_110","hostD"
