"case","event"
"case_22","hostD|unassigned->serD|unassigned"
"case_22","serD|unassigned->vulnD|storage"
"case_22","vulnD|storage->end"
"case_23","start->hostD|wireless"
"case_23","hostD|wireless->serD|unassigned"
"case_23","serD|unassigned->vulnD|storage"
"case_23","vulnD|storage->surf|http(s)"
"case_23","surf|http(s)->infoD|http(s)"
"case_23","infoD|http(s)->netDOS|http(s)"
"case_23","netDOS|http(s)->end"
"case_24","start->surf|http(s)"
"case_24","surf|http(s)->serD|unassigned"
"case_24","serD|unassigned->vulnD|storage"
"case_24","vulnD|storage->infoD|http(s)"
"case_24","infoD|http(s)->rPrivEsc|http(s)"
"case_24","rPrivEsc|http(s)->acctManip|http(s)"
"case_24","acctManip|http(s)->remoteexp|http(s)"
"case_24","remoteexp|http(s)->CnC|http(s)"
"case_24","CnC|http(s)->ACE|http(s)"
"case_24","ACE|http(s)->resHJ|http(s)"
"case_24","resHJ|http(s)->dManip|http(s)"
"case_24","dManip|http(s)->exfil|http(s)"
"case_24","exfil|http(s)->delivery|http(s)"
"case_24","delivery|http(s)->end"
"case_25","start->serD|unassigned"
"case_25","serD|unassigned->serD|unassigned"
"case_25","serD|unassigned->vulnD|storage"
"case_25","vulnD|storage->surf|http(s)"
"case_25","surf|http(s)->vulnD|http(s)"
"case_25","vulnD|http(s)->infoD|http(s)"
"case_25","infoD|http(s)->rPrivEsc|http(s)"
"case_25","rPrivEsc|http(s)->acctManip|http(s)"
"case_25","acctManip|http(s)->remoteexp|http(s)"
"case_25","remoteexp|http(s)->CnC|http(s)"
"case_25","CnC|http(s)->ACE|http(s)"
"case_25","ACE|http(s)->resHJ|http(s)"
"case_25","resHJ|http(s)->dManip|http(s)"
"case_25","dManip|http(s)->exfil|http(s)"
"case_25","exfil|http(s)->delivery|http(s)"
"case_25","delivery|http(s)->end"
"case_26","start->serD|ATCcomm"
"case_26","serD|ATCcomm->vulnD|storage"
"case_26","vulnD|storage->surf|http(s)"
"case_26","surf|http(s)->vulnD|wireless"
"case_26","vulnD|wireless->infoD|http(s)"
"case_26","infoD|http(s)->rPrivEsc|wireless"
"case_26","rPrivEsc|wireless->acctManip|wireless"
"case_26","acctManip|wireless->remoteexp|wireless"
"case_26","remoteexp|wireless->CnC|http(s)"
"case_26","CnC|http(s)->ACE|http(s)"
"case_26","ACE|http(s)->resHJ|wireless"
"case_26","resHJ|wireless->dManip|http(s)"
"case_26","dManip|http(s)->exfil|http(s)"
"case_26","exfil|http(s)->delivery|http(s)"
"case_26","delivery|http(s)->end"
"case_27","start->serD|unassigned"
"case_27","serD|unassigned->vulnD|storage"
"case_27","vulnD|storage->serD|unassigned"
"case_27","serD|unassigned->vulnD|storage"
"case_27","vulnD|storage->end"
"case_28","start->serD|ATCcomm"
"case_28","serD|ATCcomm->vulnD|storage"
"case_28","vulnD|storage->serD|unassigned"
"case_28","serD|unassigned->vulnD|storage"
"case_28","vulnD|storage->end"
"case_29","start->serD|ATCcomm"
"case_29","serD|ATCcomm->vulnD|storage"
"case_29","vulnD|storage->serD|unassigned"
"case_29","serD|unassigned->vulnD|storage"
"case_29","vulnD|storage->end"
"case_30","start->serD|ATCcomm"
"case_30","serD|ATCcomm->vulnD|storage"
"case_30","vulnD|storage->surf|surveillance"
"case_30","surf|surveillance->vulnD|surveillance"
"case_30","vulnD|surveillance->infoD|surveillance"
"case_30","infoD|surveillance->rPrivEsc|surveillance"
"case_30","rPrivEsc|surveillance->remoteexp|surveillance"
"case_30","remoteexp|surveillance->ACE|surveillance"
"case_30","ACE|surveillance->dManip|surveillance"
"case_30","dManip|surveillance->exfil|surveillance"
"case_30","exfil|surveillance->end"
"case_31","start->serD|unassigned"
"case_31","serD|unassigned->vulnD|storage"
"case_31","vulnD|storage->serD|storage"
"case_31","serD|storage->vulnD|storage"
"case_31","vulnD|storage->serD|unassigned"
"case_31","serD|unassigned->vulnD|storage"
"case_31","vulnD|storage->end"
"case_32","start->serD|unassigned"
"case_32","serD|unassigned->vulnD|storage"
"case_32","vulnD|storage->serD|storage"
"case_32","serD|storage->vulnD|storage"
"case_32","vulnD|storage->serD|unassigned"
"case_32","serD|unassigned->vulnD|storage"
"case_32","vulnD|storage->end"
"case_33","start->serD|unassigned"
"case_33","serD|unassigned->vulnD|storage"
"case_33","vulnD|storage->serD|storage"
"case_33","serD|storage->vulnD|storage"
"case_33","vulnD|storage->serD|unassigned"
"case_33","serD|unassigned->vulnD|storage"
"case_33","vulnD|storage->end"
"case_34","start->serD|unassigned"
"case_34","serD|unassigned->vulnD|storage"
"case_34","vulnD|storage->serD|storage"
"case_34","serD|storage->vulnD|storage"
"case_34","vulnD|storage->serD|unassigned"
"case_34","serD|unassigned->vulnD|storage"
"case_34","vulnD|storage->end"
"case_35","start->serD|unassigned"
"case_35","serD|unassigned->vulnD|storage"
"case_35","vulnD|storage->serD|storage"
"case_35","serD|storage->vulnD|storage"
"case_35","vulnD|storage->serD|unassigned"
"case_35","serD|unassigned->vulnD|storage"
"case_35","vulnD|storage->end"
"case_36","start->serD|unassigned"
"case_36","serD|unassigned->vulnD|storage"
"case_36","vulnD|storage->serD|storage"
"case_36","serD|storage->vulnD|storage"
"case_36","vulnD|storage->serD|unassigned"
"case_36","serD|unassigned->vulnD|storage"
"case_36","vulnD|storage->end"
"case_37","start->serD|unassigned"
"case_37","serD|unassigned->vulnD|storage"
"case_37","vulnD|storage->serD|storage"
"case_37","serD|storage->vulnD|storage"
"case_37","vulnD|storage->hostD|http(s)"
"case_37","hostD|http(s)->serD|storage"
"case_37","serD|storage->vulnD|storage"
"case_37","vulnD|storage->serD|unassigned"
"case_37","serD|unassigned->vulnD|storage"
"case_37","vulnD|storage->hostD|http(s)"
"case_37","hostD|http(s)->surf|http(s)"
"case_37","surf|http(s)->infoD|http(s)"
"case_37","infoD|http(s)->rPrivEsc|http(s)"
"case_37","rPrivEsc|http(s)->acctManip|http(s)"
"case_37","acctManip|http(s)->remoteexp|http(s)"
"case_37","remoteexp|http(s)->ACE|http(s)"
"case_37","ACE|http(s)->resHJ|http(s)"
"case_37","resHJ|http(s)->dManip|http(s)"
"case_37","dManip|http(s)->exfil|http(s)"
"case_37","exfil|http(s)->delivery|http(s)"
"case_37","delivery|http(s)->end"
"case_38","start->serD|unassigned"
"case_38","serD|unassigned->vulnD|storage"
"case_38","vulnD|storage->serD|storage"
"case_38","serD|storage->vulnD|storage"
"case_38","vulnD|storage->serD|unassigned"
"case_38","serD|unassigned->vulnD|storage"
"case_38","vulnD|storage->serD|unassigned"
"case_38","serD|unassigned->vulnD|storage"
"case_38","vulnD|storage->end"
"case_39","start->serD|unassigned"
