"case","event","index"
31,"serD|unassigned",1
31,"vulnD|storage",2
31,"serD|storage",3
31,"vulnD|storage",4
31,"serD|unassigned",5
32,"vulnD|storage",0
32,"serD|unassigned",1
32,"vulnD|storage",2
32,"serD|storage",3
32,"vulnD|storage",4
32,"serD|unassigned",5
33,"vulnD|storage",0
33,"serD|unassigned",1
33,"vulnD|storage",2
33,"serD|storage",3
33,"vulnD|storage",4
33,"serD|unassigned",5
34,"vulnD|storage",0
34,"serD|unassigned",1
34,"vulnD|storage",2
34,"serD|storage",3
34,"vulnD|storage",4
34,"serD|unassigned",5
35,"vulnD|storage",0
35,"serD|unassigned",1
35,"vulnD|storage",2
35,"serD|storage",3
35,"vulnD|storage",4
35,"serD|unassigned",5
36,"vulnD|storage",0
36,"serD|unassigned",1
36,"vulnD|storage",2
36,"serD|storage",3
36,"vulnD|storage",4
36,"serD|unassigned",5
37,"delivery|http(s)",0
37,"exfil|http(s)",1
37,"dManip|http(s)",2
37,"resHJ|http(s)",3
37,"ACE|http(s)",4
37,"remoteexp|http(s)",5
37,"acctManip|http(s)",6
37,"rPrivEsc|http(s)",7
37,"infoD|http(s)",8
37,"surf|http(s)",9
37,"hostD|http(s)",10
37,"vulnD|storage",11
37,"serD|unassigned",12
37,"vulnD|storage",13
37,"serD|storage",14
37,"hostD|http(s)",15
37,"vulnD|storage",16
37,"serD|storage",17
37,"vulnD|storage",18
37,"serD|unassigned",19
38,"vulnD|storage",0
38,"serD|unassigned",1
38,"vulnD|storage",2
38,"serD|unassigned",3
38,"vulnD|storage",4
38,"serD|storage",5
38,"vulnD|storage",6
38,"serD|unassigned",7
39,"vulnD|storage",0
39,"serD|unassigned",1
39,"vulnD|storage",2
39,"serD|storage",3
39,"vulnD|storage",4
39,"serD|unassigned",5
40,"vulnD|storage",0
40,"serD|unassigned",1
40,"vulnD|storage",2
40,"serD|storage",3
40,"vulnD|storage",4
40,"serD|unassigned",5
40,"vulnD|storage",6
40,"serD|unassigned",7
41,"hostD|http(s)",0
41,"vulnD|remoteAccess",1
41,"serD|unassigned",2
41,"hostD|remoteAccess",3
41,"infoD|remoteAccess",4
41,"vulnD|storage",5
41,"serD|unassigned",6
42,"vulnD|remoteAccess",0
42,"serD|unassigned",1
42,"vulnD|storage",2
42,"serD|unassigned",3
43,"vulnD|remoteAccess",0
43,"serD|unassigned",1
43,"vulnD|remoteAccess",2
43,"serD|unassigned",3
44,"hostD|http(s)",0
44,"vulnD|storage",1
44,"serD|unassigned",2
44,"vulnD|storage",3
44,"serD|unassigned",4
44,"hostD|http(s)",5
45,"vulnD|remoteAccess",0
45,"serD|unassigned",1
45,"vulnD|storage",2
45,"serD|unassigned",3
46,"vulnD|storage",0
46,"serD|unassigned",1
46,"vulnD|storage",2
46,"serD|unassigned",3
47,"exfil|unassigned",0
47,"infoD|unassigned",1
